parent	ID	AccessType	DataAccess	Delimiter	Expression	LoopInitValue	Name	NextCode	NullMarker	StartValue	StopExpression	StopValue
Referrals.ReferralDx||DBMSStorage||DBMSMaster	Referrals.ReferralDx||DBMSStorage||DBMSMaster||3	sub	^["MHRHMO"]HMOREF({L1},{L2})		{Referrals.Referral.Rin}		3	S {L3}={L3}+100 I {L3}]]((^[$P(HMOTBL({L1}),"^",1)]HMOREF({L1},{L2},0)*100)) S {L3}=""				
Referrals.ReferralDx||DBMSStorage||DBMSMaster	Referrals.ReferralDx||DBMSStorage||DBMSMaster||4	Piece	^["MHRHMO"]HMOREF({L1},{L2},{L3}+43)	"^"	1		4					
Referrals.ReferralDx||DBMSStorage||DBMSMaster	Referrals.ReferralDx||DBMSStorage||DBMSMaster||5	Piece	$P($G(^["MHRHMO"]HMOREF({L1},{L2},{L3}+43)),"^",{L4})	"|"	{Repet}		5					
Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster	Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster||1				{Referrals.Referral.Hmo}		1					
Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster	Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMOREF({L1})		{Referrals.Referral.Id}		2					
Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster	Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster||3	sub	^["MHRHMO"]HMOREF({L1},{L2})		{Referrals.Referral.Rin}		3	S {L3}={L3}+100 I {L3}]]((^["MHRHMO"]HMOREF({L1},{L2},0)*100)) S {L3}=""				
Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster	Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster||4	sub	^["MHRHMO"]HMOREF({L1},{L2},{L3})		"EDI"		4					
Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster	Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster||5	sub	^["MHRHMO"]HMOREF({L1},{L2},{L3},{L4})		{Tx}		5			1		
Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster	Referrals.ReferralEdiTxn||DBMSStorage||DBMSMaster||6	sub	^["MHRHMO"]HMOREF({L1},{L2},{L3},{L4},{L5})		0		6					
Referrals.ReferralInpatientDt||DBMSStorage||DBMSMaster	Referrals.ReferralInpatientDt||DBMSStorage||DBMSMaster||1				{Referrals.Referral.Hmo}		1					
Referrals.ReferralInpatientDt||DBMSStorage||DBMSMaster	Referrals.ReferralInpatientDt||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMOREF({L1})		{Referrals.Referral.Id}		2					
Referrals.ReferralInpatientDt||DBMSStorage||DBMSMaster	Referrals.ReferralInpatientDt||DBMSStorage||DBMSMaster||3	sub	^["MHRHMO"]HMOREF({L1},{L2})		{Referrals.Referral.Rin}		3	S {L3}={L3}+100 I {L3}]]((^["MHRHMO"]HMOREF({L1},{L2},0)*100)) S {L3}=""				
Referrals.ReferralInpatientDt||DBMSStorage||DBMSMaster	Referrals.ReferralInpatientDt||DBMSStorage||DBMSMaster||4	sub	^["MHRHMO"]HMOREF({L1},{L2},{L3})		"INPDATES"		4					
Referrals.ReferralInpatientDt||DBMSStorage||DBMSMaster	Referrals.ReferralInpatientDt||DBMSStorage||DBMSMaster||5	sub	^["MHRHMO"]HMOREF({L1},{L2},{L3},{L4})		{Txn}		5					
Referrals.ReferralLine||DBMSStorage||DBMSMaster	Referrals.ReferralLine||DBMSStorage||DBMSMaster||1				{Referrals.Referral.Hmo}		1					
Referrals.ReferralLine||DBMSStorage||DBMSMaster	Referrals.ReferralLine||DBMSStorage||DBMSMaster||2	Sub	^["MHRHMO"]HMOREF({L1})		{Referrals.Referral.Id}		2					
Referrals.ReferralLine||DBMSStorage||DBMSMaster	Referrals.ReferralLine||DBMSStorage||DBMSMaster||3	Sub	^["MHRHMO"]HMOREF({L1},{L2})		{Referrals.Referral.Rin}		3	S {L3}={L3}+100 I {L3}]]((^["MHRHMO"]HMOREF({L1},{L2},0)*100)) S {L3}=""				
Referrals.ReferralLine||DBMSStorage||DBMSMaster	Referrals.ReferralLine||DBMSStorage||DBMSMaster||4	Piece	^["MHRHMO"]HMOREF({L1},{L2},{L3}+6)	"^"	{Line}	0	4					99
Referrals.ReferralLinkedCase||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedCase||DBMSStorage||DBMSMaster||1				{Referrals.Referral.Hmo}		1					
Referrals.ReferralLinkedCase||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedCase||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMOREF({L1})		{Referrals.Referral.Id}		2					
Referrals.ReferralLinkedCase||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedCase||DBMSStorage||DBMSMaster||3	sub	^["MHRHMO"]HMOREF({L1},{L2})		{Referrals.Referral.Rin}		3	S {L3}={L3}+100 I {L3}]]((^["MHRHMO"]HMOREF({L1},{L2},0)*100)) S {L3}=""				
Referrals.ReferralLinkedCase||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedCase||DBMSStorage||DBMSMaster||4	sub	^["MHRHMO"]HMOREF({L1},{L2},{L3})		"CASE"		4					
Referrals.ReferralLinkedCase||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedCase||DBMSStorage||DBMSMaster||5	sub	^["MHRHMO"]HMOREF({L1},{L2},{L3},{L4})		{CaseNum}		5					
Referrals.ReferralLinkedClm||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedClm||DBMSStorage||DBMSMaster||1				{Referrals.Referral.Hmo}		1					
Referrals.ReferralLinkedClm||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedClm||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMOREF({L1})		{Referrals.Referral.Id}		2					
Referrals.ReferralLinkedClm||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedClm||DBMSStorage||DBMSMaster||3	sub	^["MHRHMO"]HMOREF({L1},{L2})		{Referrals.Referral.Rin}		3	S {L3}={L3}+100 I {L3}]]((^["MHRHMO"]HMOREF({L1},{L2},0)*100)) S {L3}=""				
Referrals.ReferralLinkedClm||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedClm||DBMSStorage||DBMSMaster||4	sub	^["MHRHMO"]HMOREF({L1},{L2},{L3})		"CLAIMS"		4					
Referrals.ReferralLinkedClm||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedClm||DBMSStorage||DBMSMaster||5	sub	^["MHRHMO"]HMOREF({L1},{L2},{L3},{L4})		{Claim}		5					
Referrals.ReferralLinkedInv||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedInv||DBMSStorage||DBMSMaster||1				{Referrals.Referral.Hmo}		1					
Referrals.ReferralLinkedInv||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedInv||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMOREF({L1})		{Referrals.Referral.Id}		2			100		
Referrals.ReferralLinkedInv||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedInv||DBMSStorage||DBMSMaster||3	sub	^["MHRHMO"]HMOREF({L1},{L2})		{Referrals.Referral.Rin}		3	S {L3}={L3}+100 I {L3}]]((^["MHRHMO"]HMOREF({L1},{L2},0)*100)) S {L3}=""				
Referrals.ReferralLinkedInv||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedInv||DBMSStorage||DBMSMaster||4	sub	^["MHRHMO"]HMOREF({L1},{L2},{L3})		"BAR"		4					
Referrals.ReferralLinkedInv||DBMSStorage||DBMSMaster	Referrals.ReferralLinkedInv||DBMSStorage||DBMSMaster||5	sub	^["MHRHMO"]HMOREF({L1},{L2},{L3},{L4})		{Invoice}		5					
Referrals.ReferralRequest||DBMSStorage||DBMSMaster	Referrals.ReferralRequest||DBMSStorage||DBMSMaster||1				{Id}		1					
Referrals.ReferralRequest||DBMSStorage||DBMSMaster	Referrals.ReferralRequest||DBMSStorage||DBMSMaster||2				0		2					
Referrals.ReferralRequest||DBMSStorage||Extent	Referrals.ReferralRequest||DBMSStorage||Extent||1				"$bitmap"		1					
Referrals.ReferralRequest||DBMSStorage||ZClinRequest	Referrals.ReferralRequest||DBMSStorage||ZClinRequest||1				"MCA_B_REFERRAL_REQUEST.CLINICAL_REQUEST"		1					
Referrals.ReferralRequest||DBMSStorage||ZClinRequest	Referrals.ReferralRequest||DBMSStorage||ZClinRequest||2				{ClinRequest}		2					
Referrals.ReferralRequest||DBMSStorage||ZPatient	Referrals.ReferralRequest||DBMSStorage||ZPatient||1				"MCA_B_REFERRAL_REQUEST.PATIENT"		1					
Referrals.ReferralRequest||DBMSStorage||ZPatient	Referrals.ReferralRequest||DBMSStorage||ZPatient||2				$$SQLUPPER({Patient})		2					
Referrals.ReferralRequest||DBMSStorage||ZPatient	Referrals.ReferralRequest||DBMSStorage||ZPatient||3				{Id}		3					
Referrals.ReferralRequest||DBMSStorage||ZReferral	Referrals.ReferralRequest||DBMSStorage||ZReferral||1				"MCA_B_REFERRAL_REQUEST.REFERRAL"		1					
Referrals.ReferralRequest||DBMSStorage||ZReferral	Referrals.ReferralRequest||DBMSStorage||ZReferral||2				{Referral}		2					
Referrals.ReferralRequestAudit||DBMSStorage||DBMSMaster	Referrals.ReferralRequestAudit||DBMSStorage||DBMSMaster||1				{Id}		1					
Referrals.ReferralRequestAudit||DBMSStorage||DBMSMaster	Referrals.ReferralRequestAudit||DBMSStorage||DBMSMaster||2				0		2					
Referrals.ReferralRequestAudit||DBMSStorage||Dt	Referrals.ReferralRequestAudit||DBMSStorage||Dt||1				"DT"		1					
Referrals.ReferralRequestAudit||DBMSStorage||Dt	Referrals.ReferralRequestAudit||DBMSStorage||Dt||2				{Event_Dt}		2					
Referrals.ReferralRequestAudit||DBMSStorage||Extent	Referrals.ReferralRequestAudit||DBMSStorage||Extent||1				"$bitmap"		1					
Referrals.ReferralRequestAudit||DBMSStorage||Ini	Referrals.ReferralRequestAudit||DBMSStorage||Ini||1				"INI"		1					
Referrals.ReferralRequestAudit||DBMSStorage||Ini	Referrals.ReferralRequestAudit||DBMSStorage||Ini||2				{Event_Ini}		2					
Referrals.ReferralRequestAudit||DBMSStorage||ReferralRequest	Referrals.ReferralRequestAudit||DBMSStorage||ReferralRequest||1				"PARENT"		1					
Referrals.ReferralRequestAudit||DBMSStorage||ReferralRequest	Referrals.ReferralRequestAudit||DBMSStorage||ReferralRequest||2				{ReferralRequest}		2					
Referrals.ReferralRequestAudit||DBMSStorage||ReferralRequest	Referrals.ReferralRequestAudit||DBMSStorage||ReferralRequest||3				{Id}		3					
Referrals.ReferralRequestAuditTxn||DBMSStorage||DBMSMaster	Referrals.ReferralRequestAuditTxn||DBMSStorage||DBMSMaster||1				{Referrals.ReferralRequestAudit.Id}		1					
Referrals.ReferralRequestAuditTxn||DBMSStorage||DBMSMaster	Referrals.ReferralRequestAuditTxn||DBMSStorage||DBMSMaster||2				0		2					
Referrals.ReferralRequestAuditTxn||DBMSStorage||DBMSMaster	Referrals.ReferralRequestAuditTxn||DBMSStorage||DBMSMaster||3				"TXN"		3					
Referrals.ReferralRequestAuditTxn||DBMSStorage||DBMSMaster	Referrals.ReferralRequestAuditTxn||DBMSStorage||DBMSMaster||4				{Txn}		4					
Referrals.ReferralStatusHistory||DBMSStorage||DBMSMaster	Referrals.ReferralStatusHistory||DBMSStorage||DBMSMaster||1				{Referrals.Referral.Hmo}		1					
Referrals.ReferralStatusHistory||DBMSStorage||DBMSMaster	Referrals.ReferralStatusHistory||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMOREF({L1})		{Referrals.Referral.Id}		2			100		
Referrals.ReferralStatusHistory||DBMSStorage||DBMSMaster	Referrals.ReferralStatusHistory||DBMSStorage||DBMSMaster||3	sub	^["MHRHMO"]HMOREF({L1},{L2})		{Referrals.Referral.Rin}		3	S {L3}={L3}+100 I {L3}]]((^["MHRHMO"]HMOREF({L1},{L2},0)*100)) S {L3}=""				
Referrals.ReferralStatusHistory||DBMSStorage||DBMSMaster	Referrals.ReferralStatusHistory||DBMSStorage||DBMSMaster||4	Piece	^["MHRHMO"]HMOREF({L1},{L2},{L3}+2)	"/"	{JoinVar}		4					
Referrals.ReferralVisit||DBMSStorage||DBMSMaster	Referrals.ReferralVisit||DBMSStorage||DBMSMaster||1				{Referrals.Referral.Hmo}		1					
Referrals.ReferralVisit||DBMSStorage||DBMSMaster	Referrals.ReferralVisit||DBMSStorage||DBMSMaster||2	sub	^["MHRREG"]HMOREF({L1})		{Referrals.Referral.Id}		2					
Referrals.ReferralVisit||DBMSStorage||DBMSMaster	Referrals.ReferralVisit||DBMSStorage||DBMSMaster||3	sub	^["MHRREG"]HMOREF({L1},{L2})		{Referrals.Referral.Rin}		3	S {L3}={L3}+100 I {L3}]]((^["MHRREG"]HMOREF({L1},{L2},0)*100)) S {L3}=""				
Referrals.ReferralVisit||DBMSStorage||DBMSMaster	Referrals.ReferralVisit||DBMSStorage||DBMSMaster||4	sub	^["MHRREG"]HMOREF({L1},{L2},{L3})		"VISIT"		4					
Referrals.ReferralVisit||DBMSStorage||DBMSMaster	Referrals.ReferralVisit||DBMSStorage||DBMSMaster||5	sub	^["MHRREG"]HMOREF({L1},{L2},{L3},{L4})		1		5					
Referrals.ReferralVisit||DBMSStorage||DBMSMaster	Referrals.ReferralVisit||DBMSStorage||DBMSMaster||6	sub	^["MHRREG"]HMOREF({L1},{L2},{L3},{L4},{L5})		{Grp}		6					
Referrals.ReferralVisit||DBMSStorage||DBMSMaster	Referrals.ReferralVisit||DBMSStorage||DBMSMaster||7	sub	^["MHRREG"]HMOREF({L1},{L2},{L3},{L4},{L5},{L6})		{Vid}		7					
Referrals.ReferralWorkingDx||DBMSStorage||DBMSMaster	Referrals.ReferralWorkingDx||DBMSStorage||DBMSMaster||1				{Referrals.Referral.Hmo}		1					
Referrals.ReferralWorkingDx||DBMSStorage||DBMSMaster	Referrals.ReferralWorkingDx||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMOREF({L1})		{Referrals.Referral.Id}		2			100		
Referrals.ReferralWorkingDx||DBMSStorage||DBMSMaster	Referrals.ReferralWorkingDx||DBMSStorage||DBMSMaster||3	sub	^["MHRHMO"]HMOREF({L1},{L2})		{Referrals.Referral.Rin}		3	S {L3}={L3}+100 I {L3}]]((^["MHRHMO"]HMOREF({L1},{L2},0)*100)) S {L3}=""				
Referrals.ReferralWorkingDx||DBMSStorage||DBMSMaster	Referrals.ReferralWorkingDx||DBMSStorage||DBMSMaster||4	Piece	^["MHRHMO"]HMOREF({L1},{L2},{L3}+34)	"^"	{Repet}		4					
Referrals.ReferralWorkingPx||DBMSStorage||DBMSMaster	Referrals.ReferralWorkingPx||DBMSStorage||DBMSMaster||1				{Referrals.Referral.Hmo}		1					
Referrals.ReferralWorkingPx||DBMSStorage||DBMSMaster	Referrals.ReferralWorkingPx||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMOREF({L1})		{Referrals.Referral.Id}		2			100		
Referrals.ReferralWorkingPx||DBMSStorage||DBMSMaster	Referrals.ReferralWorkingPx||DBMSStorage||DBMSMaster||3	sub	^["MHRHMO"]HMOREF({L1},{L2})		{Referrals.Referral.Rin}		3	S {L3}={L3}+100 I {L3}]]((^["MHRHMO"]HMOREF({L1},{L2},0)*100)) S {L3}=""				
Referrals.ReferralWorkingPx||DBMSStorage||DBMSMaster	Referrals.ReferralWorkingPx||DBMSStorage||DBMSMaster||4	Piece	^["MHRHMO"]HMOREF({L1},{L2},{L3}+35)	"^"	{RgNum}		4					
Referrals.StatusRule||DBMSStorage||DBMSMaster	Referrals.StatusRule||DBMSStorage||DBMSMaster||1				{Hmo}		1					
Referrals.StatusRule||DBMSStorage||DBMSMaster	Referrals.StatusRule||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMORSR({L1})		{Rule}		2			1		
Referrals.StatusRuleCondition||DBMSStorage||DBMSMaster	Referrals.StatusRuleCondition||DBMSStorage||DBMSMaster||1				{Referrals.StatusRule.Hmo}		1					
Referrals.StatusRuleCondition||DBMSStorage||DBMSMaster	Referrals.StatusRuleCondition||DBMSStorage||DBMSMaster||2	sub	^["MHRHMO"]HMORSR({L1})		{Referrals.StatusRule.Rule}		2			1		
Referrals.StatusRuleCondition||DBMSStorage||DBMSMaster	Referrals.StatusRuleCondition||DBMSStorage||DBMSMaster||3	sub	^["MHRHMO"]HMORSR({L1},{L2})		0		3					
Referrals.StatusRuleCondition||DBMSStorage||DBMSMaster	Referrals.StatusRuleCondition||DBMSStorage||DBMSMaster||4	sub	^["MHRHMO"]HMORSR({L1},{L2},{L3})		{Txn}		4					
Referrals.StatusRuleCondition||DBMSStorage||DBMSMaster	Referrals.StatusRuleCondition||DBMSStorage||DBMSMaster||5	Piece		"^"	{Repet}		5					
225 row(s) affected

